GUID_,year,Population
2AE19629238313A3E055000000000001,2022_Population,1997.0
2AE196291AEC13A3E055000000000001,2022_Population,558.0
2AE196291F7C13A3E055000000000001,2022_Population,430.0
2AE19629173213A3E055000000000001,2022_Population,177.0
2AE196291A1313A3E055000000000001,2022_Population,631.0
2AE19629195513A3E055000000000001,2022_Population,1024.0
2AE19629200B13A3E055000000000001,2022_Population,190.0
2AE1962922BD13A3E055000000000001,2022_Population,226.0
2AE19629196613A3E055000000000001,2022_Population,658.0
2AE1962921B813A3E055000000000001,2022_Population,678.0
2AE1962918F713A3E055000000000001,2022_Population,2421.0
2AE1962920E713A3E055000000000001,2022_Population,904.0
3576C5999AA84152E0530100007F0280,2022_Population,168.0
2AE19629219C13A3E055000000000001,2022_Population,1612.0
2AE196291D7913A3E055000000000001,2022_Population,1752.0
